iter	Passed	Remaining
0	209	104695
1	259	64537
2	303	50236
3	345	42845
4	391	38716
5	441	36313
6	487	34315
7	526	32359
8	564	30816
9	604	29603
10	639	28432
11	675	27470
12	714	26749
13	748	25976
14	783	25323
15	819	24791
16	858	24399
17	898	24068
18	935	23685
19	972	23341
20	1007	22988
21	1042	22644
22	1076	22323
23	1110	22017
24	1147	21806
25	1183	21573
26	1219	21364
27	1254	21155
28	1288	20929
29	1322	20715
30	1358	20549
31	1394	20391
32	1427	20203
33	1463	20063
34	1498	19904
35	1539	19838
36	1576	19726
37	1614	19625
38	1652	19533
39	1689	19428
40	1727	19334
41	1762	19224
42	1799	19123
43	1833	19005
44	1868	18890
45	1905	18803
46	1940	18700
47	1976	18611
48	2014	18545
49	2058	18527
50	2096	18454
51	2130	18356
52	2170	18305
53	2206	18220
54	2245	18165
55	2278	18065
56	2312	17975
57	2349	17903
58	2381	17801
59	2416	17717
60	2451	17643
61	2488	17579
62	2524	17513
63	2559	17435
64	2598	17391
65	2636	17340
66	2672	17270
67	2709	17210
68	2742	17131
69	2778	17069
70	2813	17000
71	2849	16937
72	2885	16876
73	2919	16808
74	2951	16724
75	2983	16643
76	3017	16575
77	3053	16517
78	3089	16463
79	3124	16403
80	3161	16352
81	3199	16309
82	3233	16244
83	3267	16181
84	3302	16122
85	3339	16074
86	3373	16016
87	3410	15969
88	3445	15912
89	3481	15860
90	3513	15792
91	3548	15737
92	3583	15680
93	3620	15639
94	3655	15583
95	3690	15532
96	3722	15466
97	3759	15421
98	3796	15378
99	3833	15335
100	3867	15279
101	3904	15235
102	3943	15198
103	3980	15154
104	4014	15101
105	4049	15051
106	4087	15014
107	4136	15013
108	4181	15000
109	4222	14969
110	4262	14938
111	4303	14907
112	4347	14887
113	4386	14852
114	4421	14803
115	4461	14769
116	4495	14715
117	4529	14663
118	4565	14617
119	4600	14569
120	4639	14532
121	4674	14483
122	4711	14440
123	4747	14394
124	4787	14361
125	4827	14327
126	4875	14320
127	4912	14278
128	4949	14235
129	4986	14192
130	5021	14145
131	5058	14102
132	5095	14059
133	5131	14014
134	5196	14050
135	5250	14052
136	5285	14004
137	5317	13949
138	5355	13907
139	5388	13857
140	5426	13816
141	5460	13766
142	5494	13717
143	5528	13667
144	5562	13618
145	5598	13573
146	5632	13525
147	5670	13486
148	5703	13434
149	5739	13392
150	5774	13346
151	5811	13306
152	5847	13263
153	5885	13224
154	5924	13187
155	5970	13164
156	6011	13132
157	6049	13095
158	6088	13058
159	6124	13014
160	6159	12970
161	6197	12929
162	6229	12878
163	6263	12832
164	6293	12778
165	6329	12735
166	6361	12684
167	6392	12633
168	6424	12583
169	6457	12534
170	6489	12485
171	6520	12434
172	6552	12385
173	6582	12332
174	6626	12306
175	6664	12269
176	6699	12225
177	6729	12173
178	6765	12132
179	6799	12088
180	6833	12044
181	6867	11998
182	6897	11948
183	6929	11899
184	6959	11850
185	6990	11801
186	7021	11751
187	7051	11702
188	7081	11651
189	7112	11605
190	7145	11559
191	7178	11515
192	7207	11465
193	7240	11420
194	7275	11379
195	7312	11342
196	7347	11300
197	7386	11265
198	7427	11235
199	7463	11195
200	7497	11153
201	7533	11113
202	7566	11070
203	7599	11026
204	7630	10980
205	7664	10938
206	7697	10894
207	7727	10848
208	7761	10806
209	7793	10761
210	7825	10718
211	7862	10681
212	7894	10637
213	7928	10596
214	7965	10559
215	8001	10520
216	8035	10479
217	8069	10438
218	8102	10396
219	8138	10358
220	8172	10317
221	8204	10273
222	8236	10231
223	8269	10189
224	8300	10144
225	8332	10101
226	8363	10058
227	8407	10029
228	8445	9994
229	8477	9952
230	8514	9915
231	8552	9879
232	8583	9836
233	8630	9810
234	8668	9775
235	8711	9745
236	8750	9710
237	8792	9679
238	8832	9645
239	8876	9615
240	8913	9578
241	8953	9545
242	8990	9508
243	9028	9472
244	9079	9450
245	9148	9446
246	9192	9415
247	9242	9391
248	9286	9361
249	9325	9325
250	9361	9286
251	9399	9250
252	9435	9211
253	9471	9172
254	9506	9133
255	9540	9093
256	9573	9051
257	9606	9010
258	9641	8971
259	9676	8932
260	9716	8897
261	9757	8863
262	9798	8830
263	9841	8797
264	9883	8764
265	9918	8725
266	9957	8689
267	9997	8654
268	10032	8615
269	10067	8576
270	10104	8538
271	10141	8500
272	10177	8463
273	10214	8425
274	10251	8387
275	10288	8349
276	10323	8310
277	10360	8273
278	10398	8236
279	10437	8201
280	10473	8162
281	10510	8125
282	10551	8090
283	10590	8055
284	10625	8015
285	10661	7977
286	10701	7942
287	10741	7906
288	10779	7869
289	10817	7833
290	10852	7794
291	10888	7756
292	10925	7718
293	10960	7680
294	10994	7640
295	11026	7599
296	11060	7559
297	11094	7520
298	11131	7482
299	11167	7444
300	11203	7406
301	11234	7365
302	11271	7328
303	11305	7288
304	11337	7248
305	11373	7210
306	11410	7173
307	11444	7134
308	11480	7096
309	11521	7061
310	11560	7025
311	11605	6992
312	11645	6957
313	11683	6920
314	11728	6888
315	11764	6850
316	11806	6816
317	11846	6780
318	11881	6741
319	11920	6705
320	11960	6669
321	11996	6631
322	12036	6596
323	12072	6557
324	12109	6520
325	12144	6481
326	12181	6444
327	12217	6406
328	12251	6367
329	12283	6327
330	12314	6287
331	12349	6249
332	12383	6210
333	12414	6169
334	12450	6132
335	12482	6092
336	12514	6052
337	12550	6015
338	12581	5975
339	12613	5935
340	12644	5895
341	12677	5856
342	12707	5816
343	12745	5779
344	12792	5747
345	12830	5710
346	12865	5672
347	12905	5636
348	12946	5601
349	12981	5563
350	13015	5525
351	13052	5488
352	13095	5453
353	13141	5419
354	13182	5384
355	13223	5348
356	13264	5313
357	13304	5277
358	13343	5240
359	13380	5203
360	13413	5164
361	13457	5130
362	13495	5093
363	13533	5056
364	13566	5017
365	13605	4981
366	13639	4942
367	13674	4905
368	13713	4868
369	13748	4830
370	13786	4793
371	13821	4755
372	13858	4718
373	13891	4680
374	13925	4641
375	13958	4603
376	13993	4565
377	14027	4527
378	14064	4490
379	14106	4454
380	14148	4419
381	14189	4383
382	14230	4347
383	14266	4309
384	14302	4272
385	14339	4234
386	14378	4198
387	14414	4160
388	14450	4123
389	14488	4086
390	14528	4050
391	14565	4012
392	14602	3975
393	14637	3938
394	14676	3901
395	14713	3864
396	14753	3827
397	14789	3790
398	14830	3754
399	14873	3718
400	14914	3682
401	14953	3645
402	14991	3608
403	15027	3570
404	15064	3533
405	15099	3495
406	15132	3457
407	15169	3420
408	15206	3383
409	15241	3345
410	15273	3307
411	15311	3270
412	15345	3232
413	15378	3194
414	15410	3156
415	15442	3118
416	15472	3079
417	15507	3042
418	15543	3004
419	15575	2966
420	15607	2928
421	15639	2890
422	15671	2852
423	15701	2814
424	15732	2776
425	15766	2738
426	15799	2701
427	15830	2662
428	15864	2625
429	15897	2587
430	15931	2550
431	15967	2513
432	16002	2476
433	16036	2438
434	16069	2401
435	16103	2363
436	16137	2326
437	16172	2289
438	16207	2252
439	16242	2214
440	16272	2177
441	16301	2139
442	16336	2101
443	16372	2065
444	16405	2027
445	16436	1990
446	16472	1953
447	16506	1915
448	16539	1878
449	16570	1841
450	16601	1803
451	16632	1766
452	16664	1728
453	16694	1691
454	16724	1654
455	16754	1616
456	16785	1579
457	16820	1542
458	16853	1505
459	16883	1468
460	16916	1431
461	16950	1394
462	16985	1357
463	17016	1320
464	17045	1283
465	17076	1245
466	17107	1208
467	17142	1172
468	17175	1135
469	17211	1098
470	17247	1061
471	17284	1025
472	17339	989
473	17415	955
474	17461	919
475	17534	884
476	17576	847
477	17624	811
478	17663	774
479	17708	737
480	17760	701
481	17804	664
482	17852	628
483	17889	591
484	17932	554
485	17975	517
486	18016	480
487	18049	443
488	18089	406
489	18127	369
490	18170	333
491	18206	296
492	18241	259
493	18276	221
494	18314	184
495	18351	147
496	18392	111
497	18425	73
498	18462	36
499	18496	0
