iter	MultiClass
0	1.081779383
1	1.064083407
2	1.048613562
3	1.03469369
4	1.021619178
5	1.009039136
6	0.9970934383
7	0.9856943188
8	0.9759982692
9	0.9658590233
10	0.9569718197
11	0.9477347427
12	0.9388261347
13	0.9315900387
14	0.9234707494
15	0.9165220356
16	0.9101239821
17	0.9028910025
18	0.8964623506
19	0.8905127172
20	0.8858926083
21	0.8811521473
22	0.8753153719
23	0.8695505142
24	0.8642448941
25	0.8592741079
26	0.8552344745
27	0.8505438629
28	0.8465712352
29	0.8421959519
30	0.838819644
31	0.8349791887
32	0.8307007728
33	0.8260561804
34	0.8226861501
35	0.8194149171
36	0.8162344559
37	0.813097064
38	0.8100021981
39	0.8060062869
40	0.8032141755
41	0.8001712404
42	0.7963261748
43	0.7934538622
44	0.7907244306
45	0.7882285015
46	0.7857666577
47	0.7834825823
48	0.7812817385
49	0.7791720524
50	0.7772165805
51	0.7750295826
52	0.7730986543
53	0.7712393923
54	0.7693136429
55	0.766891795
56	0.7650541972
57	0.7631599217
58	0.7614355874
59	0.7602472525
60	0.7588090733
61	0.7572848422
62	0.7554557939
63	0.7537011599
64	0.7518527434
65	0.7508909312
66	0.7494182693
67	0.748317432
68	0.7465187964
69	0.744663654
70	0.7435946602
71	0.7413196904
72	0.7402259092
73	0.7385985945
74	0.7371566456
75	0.7356674503
76	0.7342429231
77	0.7326416281
78	0.7306661861
79	0.7289169535
80	0.7273044934
81	0.7258634428
82	0.7239627328
83	0.7226075765
84	0.7212407446
85	0.720311157
86	0.7193416532
87	0.7184473072
88	0.7175102329
89	0.7158151604
90	0.713984163
91	0.7128301511
92	0.711613323
93	0.7104787348
94	0.7091756285
95	0.7082679382
96	0.7077789691
97	0.7063942925
98	0.7041770451
99	0.7032053271
100	0.7018807664
101	0.6995602542
102	0.6983809086
103	0.6974761088
104	0.6967055628
105	0.69540077
106	0.6951054206
107	0.6943560281
108	0.6929122541
109	0.6921694254
110	0.6912431599
111	0.6900959187
112	0.6896781656
113	0.6886864784
114	0.6873554138
115	0.6860074409
116	0.6854246329
117	0.6844380066
118	0.6834651707
119	0.6823296929
120	0.6814210054
121	0.6804552449
122	0.6791647118
123	0.6777495575
124	0.6766303596
125	0.6757181918
126	0.6746520159
127	0.6738485688
128	0.6717182747
129	0.6708368303
130	0.6693593344
131	0.6684367671
132	0.6676572321
133	0.6668936601
134	0.6662237933
135	0.6651412565
136	0.6641174745
