iter	Passed	Remaining
0	184	91883
1	211	52567
2	229	37991
3	245	30440
4	260	25779
5	274	22627
6	288	20320
7	302	18583
8	316	17263
9	330	16176
10	344	15292
11	357	14551
12	371	13901
13	386	13403
14	400	12935
15	415	12557
16	429	12205
17	444	11895
18	458	11603
19	472	11347
20	487	11123
21	503	10929
22	518	10760
23	536	10637
24	553	10515
25	568	10355
26	581	10187
27	595	10045
28	610	9915
29	624	9785
30	639	9675
31	653	9561
32	667	9452
33	681	9345
34	697	9261
35	711	9167
36	726	9090
37	741	9014
38	755	8931
39	770	8862
40	784	8781
41	799	8714
42	814	8656
43	828	8585
44	842	8521
45	856	8453
46	871	8398
47	886	8345
48	900	8289
49	916	8245
50	930	8194
51	947	8162
52	962	8116
53	977	8074
54	999	8083
55	1014	8046
56	1031	8020
57	1048	7988
58	1064	7957
59	1081	7930
60	1097	7899
61	1112	7859
62	1127	7817
63	1141	7774
64	1156	7737
65	1172	7709
66	1186	7665
67	1200	7628
68	1214	7589
69	1230	7556
70	1244	7519
71	1258	7482
72	1273	7446
73	1287	7413
74	1302	7378
75	1316	7345
76	1330	7310
77	1347	7288
78	1361	7255
79	1375	7223
80	1390	7190
81	1404	7158
82	1418	7126
83	1432	7095
84	1446	7062
85	1460	7031
86	1474	6999
87	1488	6968
88	1502	6936
89	1516	6909
90	1531	6881
91	1545	6852
92	1558	6821
93	1572	6793
94	1588	6771
95	1603	6747
96	1618	6725
97	1633	6699
98	1647	6674
99	1661	6644
100	1675	6619
101	1690	6594
102	1705	6573
103	1720	6550
104	1734	6525
105	1749	6501
106	1763	6477
107	1778	6456
108	1793	6433
109	1807	6409
110	1821	6382
111	1836	6360
112	1849	6335
113	1863	6310
114	1878	6287
115	1892	6264
116	1907	6242
117	1921	6221
118	1935	6197
119	1950	6178
120	1965	6157
121	1980	6134
122	1994	6114
123	2009	6093
124	2023	6069
125	2038	6049
126	2052	6028
127	2066	6007
128	2081	5985
129	2095	5965
130	2110	5944
131	2125	5925
132	2140	5905
133	2156	5890
134	2175	5882
135	2196	5879
136	2212	5863
137	2228	5846
138	2242	5824
